Data,CNPJ,Valor,Valor_corrigido
2013-01-01,09536662000155,36.65,65.3
2013-01-01,,320.0,570.18
2013-01-01,11581284000173,90.0,160.36
2013-01-01,69044881000149,30.0,53.45
2013-01-01,,31.7,56.48
2013-01-01,06164253000187,3824.11,6813.83
2013-01-01,64765084000137,193.93,345.55
2013-01-01,04906238000131,57.42,102.31
2013-01-01,,60.0,106.91
2013-01-01,02287828000106,83.5,148.78
2013-01-01,02530487000220,16.9,30.11
2013-01-01,07499995000207,113.23,201.75
2013-01-01,08402977000147,30.34,54.06
2013-01-01,13232868000169,80.53,143.49
2013-01-01,17314329000553,30.4,54.17
2013-01-01,67966101000192,6.7,11.94
2013-01-01,02012862000160,1203.04,2143.59
2013-01-01,07499995000207,73.41,130.8
2013-01-01,09536662000155,58.1,103.52
2013-01-01,14178869000135,17.5,31.18
2013-01-01,43386903000165,95.5,170.16
2013-01-01,55158190000323,25.43,45.31
2013-01-01,73152423000109,155.65,277.34
2013-01-01,09438123000183,50.3,89.62
2013-01-01,60557162000157,80.0,142.54
2013-01-01,62505847000185,65.5,116.71
2013-01-01,60765468000107,76.2,135.77
2013-01-01,62201405000145,74.63,132.98
2013-01-01,,90.0,160.36
2013-01-01,09456550000194,86.89,154.82
2013-01-01,07499995000207,18.68,33.28
2013-01-01,72908353000367,10.7,19.07
2013-01-01,72908353001924,69.88,124.51
2013-01-01,44993632000179,411.34,732.93
2013-01-01,45007937000127,107.27,191.13
2013-01-01,,150.9,268.87
2013-01-01,01435756000126,12.3,21.92
2013-01-01,01991703000191,146.41,260.87
2013-01-01,45584430000136,95.5,170.16
2013-01-01,54975123000177,30.5,54.35
2013-01-01,,27.0,48.11
2013-01-01,01835423000275,131.95,235.11
2013-01-01,02287828000106,21.15,37.69
2013-01-01,02939555000129,19.48,34.71
2013-01-01,03198135000100,35.5,63.25
2013-01-01,04229706000342,742.0,1322.1
2013-01-01,04967877000107,23.5,41.87
2013-01-01,05188383000197,60.0,106.91
2013-01-01,06297076000107,255.0,454.36
2013-01-01,07241075000103,459.98,819.6
2013-01-01,07293969000147,30.0,53.45
2013-01-01,09383764000188,150.0,267.27
2013-01-01,09488532000194,88.0,156.8
2013-01-01,10237221000131,129.0,229.85
2013-01-01,10515792000190,22.0,39.2
2013-01-01,10754847000115,168.52,300.27
2013-01-01,10961366000180,50.0,89.09
2013-01-01,13334128000133,65.0,115.82
2013-01-01,13914904000174,174.96,311.75
2013-01-01,46177044000192,130.36,232.28
2013-01-01,54951561000103,80.0,142.54
2013-01-01,55709760000164,310.0,552.36
2013-01-01,59965038000141,94.92,169.13
2013-01-01,61386744000180,21.5,38.31
2013-01-01,61519559000117,20.0,35.64
2013-01-01,68038637000100,211.57,376.98
2013-01-01,72908353000367,56.75,101.12
2013-01-01,74428632000197,94.93,169.15
2013-01-01,,32.0,57.02
2013-01-01,02704394000356,36.0,64.15
2013-01-01,03711198000100,34.5,61.47
2013-01-01,06036190000183,173.0,308.25
2013-01-01,07252922000135,13.97,24.89
2013-01-01,07383247000183,15.11,26.92
2013-01-01,07813708000100,77.0,137.2
2013-01-01,08300383000125,76.0,135.42
2013-01-01,08840516000156,379.98,677.05
2013-01-01,09536662000155,70.23,125.14
2013-01-01,11344550000225,137.85,245.62
2013-01-01,04287927000105,179.2,319.3
2013-01-01,06319345000199,58.19,103.68
2013-01-01,07719948000140,608.95,1085.03
