"Data","CNPJ","Valor_corrigido"
"2018-02-01","09541072000110",13.61
"2018-02-01","10704319000151",74.09
"2018-02-01","11341865000138",30.74
"2018-02-01","16613759000180",24.85
"2018-02-01","43963933000197",304.69
"2018-02-01","51483956000122",141.41
"2018-02-01","61084018000103",198.81
"2018-02-01","67101576000116",1701.47
"2018-02-01","67750414000109",14.72
"2018-02-01","69342699000174",628.23
"2018-02-01","",189.78
"2018-02-01","02012862000160",1175.57
"2018-02-01","00585773000187",24.66
"2018-02-01","02530487000220",17.15
"2018-02-01","03300974004923",40.89
"2018-02-01","09536662000155",49.41
"2018-02-01","44464808000103",77.74
"2018-02-01","54867247000139",168.34
"2018-02-01","73152423000109",268.22
"2018-02-01","03300974004923",44.58
"2018-02-01","05324131000148",343.17
"2018-02-01","09456704000148",42.01
"2018-02-01","03559923000176",111.49
"2018-02-01","09377324000118",41.53
"2018-02-01","10237221000131",180.94
"2018-02-01","10243387000160",235.59
"2018-02-01","27662951000182",193.71
"2018-02-01","45007937000127",1556.45
"2018-02-01","54867247000139",27.75
"2018-02-01","02012862000160",1961.83
"2018-02-01","02575829000148",1230.65
"2018-02-01","44581056000152",608.41
"2018-02-01","",201.56
"2018-02-01","01809535000170",99.47
"2018-02-01","06698147000183",222.5
"2018-02-01","03300974004923",77.19
"2018-02-01","03996647000103",348.8
"2018-02-01","07725657000165",86.97
"2018-02-01","09447557000140",57.21
"2018-02-01","09456550000194",150.99
"2018-02-01","09456714000183",41.95
"2018-02-01","49292618000161",65.05
"2018-02-01","59597849000137",214.52
"2018-02-01","01912390000139",170.88
"2018-02-01","03059850000153",68.06
"2018-02-01","03959758000140",225.77
"2018-02-01","09060964009318",18.32
"2018-02-01","12916408000278",57.33
"2018-02-01","24940555000181",74.6
"2018-02-01","47882485000158",182.45
"2018-02-01","56899578000186",32.92
"2018-02-01","57081960000140",62.89
"2018-02-01","61353470000123",32.59
"2018-02-01","44993632000179",1887.1
"2018-02-01","45007937000127",188.73
"2018-02-01","",520.91
"2018-02-01","02771922000128",170.89
"2018-02-01","03071465000121",287.94
"2018-02-01","03300974004923",31.41
"2018-02-01","04972650000150",81.02
"2018-02-01","05630028000126",28.79
"2018-02-01","09344710000103",119.05
"2018-02-01","09399877000171",965.26
"2018-02-01","09431034000105",49.74
"2018-02-01","09456704000148",176.02
"2018-02-01","09967852006320",212.26
"2018-02-01","11906030000188",54.32
"2018-02-01","14676418000128",65.44
"2018-02-01","17357301000170",472.33
"2018-02-01","19176674000170",215.69
"2018-02-01","21296988000158",28.14
"2018-02-01","22683792000189",30.43
"2018-02-01","47079637000189",65.44
"2018-02-01","54439138000110",131.73
"2018-02-01","61084018000103",356.64
"2018-02-01","67257667000145",24.65
"2018-02-01","45007937000127",201.04
"2018-02-01","61084018000103",67.6
"2018-02-01","02012862000160",240.02
"2018-02-01","04287927000105",756.71
"2018-02-01","07719948000140",412.28
"2018-02-01","03300974004923",17.0
"2018-02-01","04299280000131",129.31
"2018-02-01","07772899000100",253.91
"2018-02-01","07985900000265",49.8
"2018-02-01","09259067000209",175.38
"2018-02-01","55727689000142",588.97
"2018-02-01","02530487000220",78.79
"2018-02-01","03300974004923",150.61
"2018-02-01","07361559000196",81.55
"2018-02-01","07866543000135",116.49
"2018-02-01","09060964003034",47.38
"2018-02-01","09438123000183",73.5
"2018-02-01","09456714000183",51.04
"2018-02-01","42591651166386",46.99
"2018-02-01","56007859000187",116.76
"2018-02-01","61084018000103",549.69
"2018-02-01","",45.81
"2018-03-01","06263718000157",337.37
"2018-03-01","10940972000110",457.68
"2018-03-01","00175135000198",125.53
"2018-03-01","22773852000154",52.04
"2018-03-01","",115.07
"2018-03-01","02743602000164",2907.29
"2018-03-01","02012862000160",8305.12
"2018-03-01","02549955000128",165.27
"2018-03-01","02905110020668",174.96
"2018-03-01","08819783000141",276.12
"2018-03-01","08895384000674",567.26
"2018-03-01","12710022000124",53.48
"2018-03-01","17261661009553",75.88
"2018-03-01","17261661009804",68.98
"2018-03-01","21869236000139",38.97
"2018-03-01","23320323000249",79.11
"2018-03-01","27466728000160",156.17
"2018-03-01","45242450000129",104.61
"2018-03-01","64692502000103",326.91
"2018-03-01","61084018000103",61.39
"2018-03-01","",100.03
"2018-03-01","01271789000188",1856.86
"2018-03-01","02012862000160",6756.45
"2018-03-01","07474145000173",397.54
"2018-03-01","34794073000114",179.15
"2018-03-01","",98.07
"2018-03-01","02530487000220",20.27
"2018-03-01","04776111000145",52.18
"2018-03-01","05025949000160",13.08
"2018-03-01","10361891000165",52.18
"2018-03-01","00201909000108",319.59
"2018-03-01","00635626000174",41.06
"2018-03-01","02648788000172",78.68
"2018-03-01","02956478000115",57.54
"2018-03-01","04065352000186",43.15
"2018-03-01","04755417000115",470.75
"2018-03-01","06297076000107",222.3
"2018-03-01","07028431000105",75.58
"2018-03-01","08231969000185",103.96
"2018-03-01","09456714000183",22.57
"2018-03-01","09585812000110",65.8
"2018-03-01","11339941000170",265.45
"2018-03-01","11384785000160",76.37
"2018-03-01","11597246000109",19.61
"2018-03-01","12527963000127",203.99
"2018-03-01","12941292000146",35.18
"2018-03-01","17066322000136",78.46
"2018-03-01","20401310000125",431.52
"2018-03-01","22707399000188",155.61
"2018-03-01","28238408000115",54.92
"2018-03-01","44993632000179",312.87
"2018-03-01","51789634000106",11.77
"2018-03-01","57140634000167",205.55
"2018-03-01","61084018000103",163.44
"2018-03-01","67071332000138",33.67
"2018-03-01","96406061000122",116.38
"2018-03-01","02012862000160",6715.9
"2018-03-01","02493867000151",130.76
"2018-03-01","59965038000141",290.18
"2018-03-01","00286528000764",131.29
"2018-03-01","02223966008440",329.53
"2018-03-01","02648788000172",19.22
"2018-03-01","04341874000163",17.0
"2018-03-01","07201070000157",83.56
"2018-03-01","09456178000116",66.38
"2018-03-01","09535195000149",70.22
"2018-03-01","09536662000155",24.79
"2018-03-01","11581965000131",268.07
"2018-03-01","19421915000107",53.08
"2018-03-01","43466788000139",206.61
"2018-03-01","45007937000127",280.1
"2018-03-01","61586160000310",34.06
"2018-03-01","69061547000101",18.95
"2018-03-01","",125.53
"2018-03-01","02665736000104",542.67
"2018-03-01","03300974004923",137.62
"2018-03-01","01644322000136",41.19
"2018-03-01","03850006000146",247.15
"2018-03-01","04755417000115",156.92
"2018-03-01","09456714000183",157.0
"2018-03-01","12278361000183",169.99
"2018-03-01","13410066000100",130.11
"2018-03-01","15130499000129",92.06
"2018-03-01","17462852000101",84.74
"2018-03-01","22988685000169",30.08
"2018-03-01","24892874000169",52.18
"2018-03-01","59597849000137",254.74
"2018-03-01","65841637000156",98.07
"2018-03-01","03273192000106",37.92
"2018-03-01","03300974004923",114.67
"2018-03-01","57241705000118",38.58
"2018-03-01","",172.61
"2018-03-01","09456704000148",245.35
"2018-03-01","11384785000160",215.06
"2018-03-01","13268749000166",340.64
"2018-03-01","21245769000140",98.39
"2018-03-01","58449646000130",263.05
"2018-03-01","58699232000321",42.08
"2018-03-01","",157.44
"2018-03-01","03830063000163",477.5
"2018-03-01","09536662000155",77.15
"2018-03-01","11384785000160",114.64
"2018-03-01","17145133000159",167.9
"2018-03-01","23448310000179",98.07
"2018-03-01","28179484000105",224.92
"2018-03-01","61980272001242",49.4
"2018-03-01","47079637000189",104.61
"2018-03-01","60705704000191",156.92
"2018-03-01","46430815000101",460.29
"2018-03-01","04078528000134",26.15
"2018-03-01","07732866000306",33.78
"2018-03-01","09551679000181",568.83
"2018-03-01","24797399000141",23.3
"2018-03-01","55151807000117",32.69
"2018-03-01","01961485000142",153.96
"2018-03-01","02203830000141",233.78
"2018-03-01","02509375000107",134.77
"2018-03-01","04341874000163",81.6
"2018-03-01","09060964001252",44.45
"2018-03-01","13232868000169",96.66
"2018-03-01","43017631000207",330.18
"2018-03-01","43599000000162",225.54
"2018-03-01","48785919000164",274.37
"2018-03-01","60909215000828",107.31
"2018-03-01","66546565000187",152.48
"2018-03-01","66728858000185",213.15
"2018-03-01","72724826000104",103.83
"2018-03-01","02451917000138",85.91
"2018-03-01","03300974004923",17.0
"2018-03-01","07823652000175",130.76
"2018-03-01","10419149000163",18.31
"2018-03-01","11384785000160",56.62
"2018-03-01","17872515000699",105.5
"2018-03-01","20656879000131",94.8
"2018-03-01","21598908000119",57.54
"2018-03-01","43021880000195",235.64
"2018-03-01","52961166000410",389.94
"2018-03-01","61980272001242",26.01
"2018-03-01","33937681000178",3651.51
"2018-03-01","11757610000150",110.05
"2018-03-01","22987195000148",91.54
"2018-03-01","24604174000121",285.85
"2018-03-01","47882485000158",401.4
"2018-03-01","02012862000160",1364.91
"2018-03-01","02575829000148",1527.46
"2018-03-01","59965038000141",441.25
"2018-03-01","",378.96
"2018-03-01","04147462000197",176.21
"2018-03-01","05356318000123",139.92
"2018-03-01","09060964006726",29.57
"2018-03-01","11632215000141",28.11
"2018-03-01","14313603000158",35.04
"2018-03-01","15320413000120",154.3
"2018-03-01","23792429000164",60.02
"2018-03-01","01912390000139",337.54
"2018-03-01","01945694000100",97.94
"2018-03-01","12842782000195",131.94
"2018-03-01","51456283000111",91.05
"2018-03-01","55238836000110",261.53
"2018-03-01","05813004000102",353.06
"2018-03-01","10780387000108",455.06
"2018-03-01","26052960000199",362.22
"2018-03-01","09399877000171",546.6
"2018-03-01","14335331000197",8638.34
"2018-03-01","59965038000141",252.78
"2018-03-01","",75.84
"2018-03-01","10579765000181",113.77
"2018-03-01","12764519000125",169.99
"2018-03-01","13232868000169",291.61
"2018-03-01","19535340000145",235.38
